,Magnoliosida,Low_SPC,Clorophyta,Bare_Sediment,Deep_Sediment,MPB,Phaeophyta,Rhodphyta,Water,SunGlint,Total
Reflectance_444,0.02625436107846311,0.022885270985665687,0.016529904886604496,0.03292899275555817,0.015504459460243874,0.047437464847697036,0.07287082055654855,0.017157551135734,0.0006949087682558106,0.07449120211979164,0.052832989268429914
Reflectance_475,1.022859666486337,1.708171631851167,1.3920179965594812,0.25137820485617207,0.24046585603680273,3.2046201742197415,0.13435342636472458,0.07807548316731461,0.014704521848099882,0.4225789202045301,1.2596404397241783
Reflectance_531,1.6080865080747166,0.4133899759434218,17.255953606392588,0.32647144767680836,0.12516263776690412,1.040924342046596,4.455392896380959,0.025192356420424094,0.004025074186679899,0.15795445072885572,9.110765137467816
Reflectance_560,0.0004963618329003416,0.001887286653963216,0.011243578046611831,0.0012095055120266427,0.0009199923530631473,0.002226536523109447,0.007969024154272503,0.004327784542663821,0.000833913884111318,0.00020768708243102074,0.0019252470419634188
Reflectance_650,0.4074476929888106,0.053375783843558997,0.37407984696424135,0.03796866123464883,0.09356640060033593,0.016977212987606335,0.43507124936457703,0.03410241339019726,0.01934962893810838,0.02200241562601427,0.2685379381402679
Reflectance_668,3.240827882951957,1.474796751906171,3.0179601577716952,0.3557514048330042,0.08759425330221397,0.5600467255227117,0.8065928209501009,0.13480081316882456,0.021335124279918457,0.32556537531769386,4.184030832885149
Reflectance_705,2.0134573150659807,0.10878725179203627,0.055437760737691785,0.06250395808067294,0.0489431554538713,0.11081064037330583,1.6419926454913665,0.12567366060116686,0.018115520493559273,0.007824801491232271,2.2261943997952645
Reflectance_717,0.3330787153167681,0.016427559573959076,0.0440562833575934,0.0040204306447733235,0.04388947797285375,0.044708139991222536,0.16380702408868045,0.13920454876841992,0.010889240256442244,0.02780151428890674,0.6264333592234599
Reflectance_740,0.009638454244364512,0.10632237523124154,0.012162256905993978,0.005215945886380164,0.033342585911232535,0.005252055932386063,0.28619861272813735,0.05324804176530475,0.002298724096571877,0.0008418332508615201,0.06688855847068251
Reflectance_842,0.06878999076878901,0.04395056962501787,0.15923556409881393,0.004505893028340464,0.040649711769669236,0.0022514540711988215,0.45428772157814473,0.08457940806131038,0.009039888160455357,0.022883711196125065,0.08993032697602402
Reflectance_Stan_444,0.027132854649642515,0.008590032344652315,0.009840069274682008,0.06861369570993954,0.20689446151852217,0.03780913653101138,0.0775951904629159,0.005945373563199768,0.3306207477867816,0.4615864916490638,0.2765996305589022
Reflectance_Stan_475,0.11897528371916812,0.43728120061187176,0.20337217265739443,0.5279346993868624,0.29586451637644434,0.24591862082395335,0.025952929504944,0.06668917548388016,0.1650123889769644,0.198219229589113,1.29269979327554
Reflectance_Stan_531,0.06698817138499281,1.0649428806864734,0.3362035895614383,0.08715621358740659,0.14514506579877043,0.48623275601137983,0.3597638891166391,0.06830806059753781,0.00821508553603877,0.3656450803346405,2.3130439888826952
Reflectance_Stan_560,2.7868963205626724,3.560866636014009,0.8514186219817109,0.5207946249754121,0.2947514474321146,0.8023941155674174,0.04731933489661053,0.8936031972025126,0.12396844186712606,0.020929483939279462,3.600565915465961
Reflectance_Stan_650,3.9115790829820907,4.2092482464336,1.2169415599339755,0.16332652069342868,0.00874439980347867,0.4860699386081109,0.7894673515569913,0.2805340422098647,0.3280114815889476,0.12662048245123964,4.640905499007682
Reflectance_Stan_668,0.11145923009189176,0.7948044446056475,0.8952271508465487,0.651476621745152,0.3304214198732622,0.6753909089691141,0.5521708918879031,0.28072728969430993,0.009583993899661202,0.3632405392415076,6.08313433530439
Reflectance_Stan_705,0.18067441065732665,2.2654695896459884,0.07885529623980554,0.03257904945812418,0.05542563777366038,0.03808647225460887,0.3698305777839726,0.04560945214791792,0.00814020967111156,0.23663016623834532,5.152436661903911
Reflectance_Stan_717,0.2868839012811785,0.2973575755783182,0.15466427083986264,0.1637231914940648,0.19244131313778198,0.00962192826152571,0.4548569375891642,0.03500851209157676,0.03336788603356027,0.35416562468407975,0.6737105513036128
Reflectance_Stan_740,0.7995884168227493,0.3388150297805254,1.8525395531968734,0.14643644028947922,0.48687255222607606,0.032986481632823035,4.512904825935097,0.027963857147208313,0.07742608315356117,0.2783881283154999,3.3497780526786194
Reflectance_Stan_842,0.003598111504949425,2.6541727444495815,0.005232745752166575,0.9660723263637226,0.007551968672300113,0.0785756958843976,0.9672242674187889,0.0002925930222234607,0.6157329728077958,0.29379976021098597,49.74548051373802
NDVI_Stan,4.556288277999748,1.5661356379474465,6.586910428114749,0.5777994274621734,6.327160147849661,0.5180978626461122,0.6648995416755489,0.08381276897982566,0.3963806805783921,0.13938507951879028,95.70227651968555
NDVI,9.27318707150067,3.2944646539646185,3.426108011858414,0.0062018868770983655,0.13462015535005337,1.4090620002356926,0.46376290318613383,0.08432854923760562,0.0041630280033398605,0.013552069865154151,19.977595317049996
