"","Class","Wavelength","mean","sd","max","min","median"
"1","Bare Sediment",444,1995.19248930725,390.019433330784,10054,0,1941
"2","Bare Sediment",475,2140.98466643597,422.231182698342,10673,0,2082
"3","Bare Sediment",531,2490.39878643855,424.083877566397,13471,1,2432
"4","Bare Sediment",560,2594.71480020706,441.578078717719,14185,3,2534
"5","Bare Sediment",650,2697.0999867138,434.211642291789,14229,154,2646
"6","Bare Sediment",668,2553.70428898683,431.143246675866,13688,103,2507
"7","Bare Sediment",705,2968.68861750343,442.941619583691,15301,500,2918
"8","Bare Sediment",717,3007.08017571807,448.674164227972,14084,4,2956
"9","Bare Sediment",740,3088.0286964987,460.471434225379,15157,513,3042
"10","Bare Sediment",842,3302.38100466,428.378158965397,14426,397,3265
"11","D - Chloropyceae",444,990.10739489662,216.484377271362,4692,0,945
"12","D - Chloropyceae",475,1102.06551758915,241.277379332218,5442,0,1055
"13","D - Chloropyceae",531,2497.87390658272,397.458026293767,6624,60,2427
"14","D - Chloropyceae",560,2835.30030038656,490.597343576868,7520,360,2733
"15","D - Chloropyceae",650,1929.44026035204,295.497166302668,8931,214,1896
"16","D - Chloropyceae",668,1486.65792124332,305.686298510525,7787,0,1441
"17","D - Chloropyceae",705,3824.52416624539,785.816259328221,9429,651,3659
"18","D - Chloropyceae",717,4459.91125702774,1168.06112465734,11004,477,4183
"19","D - Chloropyceae",740,4883.03458722061,1406.74366419076,13207,688,4534
"20","D - Chloropyceae",842,5121.68373750836,1358.45974085058,13430,871,4783
"21","Bare Sediment",444,924.992978330802,240.534204560263,4268,0,923
"22","Bare Sediment",475,995.473188654289,265.524004485989,5505,0,991
"23","Bare Sediment",531,1275.24977873577,301.265334684732,4492,0,1280
"24","Bare Sediment",560,1326.24956971864,333.568176079115,4447,96,1329
"25","Bare Sediment",650,1311.20758013684,331.682856240424,4612,121,1307
"26","Bare Sediment",668,1194.92224236189,317.395535889473,4661,0,1185
"27","Bare Sediment",705,1594.29936151799,392.510758995021,5565,162,1595
"28","Bare Sediment",717,1671.2067995885,421.566475384217,6461,186,1670
"29","Bare Sediment",740,1759.50604353435,451.048913806826,8119,198,1756
"30","Bare Sediment",842,2056.09840787733,464.54813143797,10157,477,2056
"31","E - Microphytobenthos",444,1500.84393905504,319.665467109757,7619,466,1460
"32","E - Microphytobenthos",475,1590.75259349301,356.554548224369,8394,480,1544
"33","E - Microphytobenthos",531,1984.8539184305,369.855557821179,9087,730,1943
"34","E - Microphytobenthos",560,2253.8397499757,375.496488835616,9788,868,2211
"35","E - Microphytobenthos",650,2267.67332925059,375.067363520049,10608,969,2229
"36","E - Microphytobenthos",668,1827.41687571442,385.106669052949,10123,666,1782
"37","E - Microphytobenthos",705,3038.0530878957,350.229138285271,17062,1290,3016
"38","E - Microphytobenthos",717,3242.04942114007,364.566385063783,10209,1263,3234
"39","E - Microphytobenthos",740,3412.29940193473,383.672330137518,11776,1457,3408
"40","E - Microphytobenthos",842,3533.21104623629,346.959778834391,9283,1630,3531
"41","A - Magnoliopsida",444,1093.5045230571,300.367786859043,9500,0,1039
"42","A - Magnoliopsida",475,1173.09050868536,329.470276931158,9890,0,1111
"43","A - Magnoliopsida",531,1693.42570725499,356.845044835517,13334,0,1659
"44","A - Magnoliopsida",560,1872.97271745329,390.46281522957,13097,9,1840
"45","A - Magnoliopsida",650,1738.39530751013,385.880841410771,13764,2,1691
"46","A - Magnoliopsida",668,1447.40979055936,376.635651009931,11607,0,1383
"47","A - Magnoliopsida",705,2891.22513789695,477.389963148508,24092,300,2855
"48","A - Magnoliopsida",717,3475.78288155499,734.208905360801,23650,187,3386
"49","A - Magnoliopsida",740,4011.27220865451,1046.05816420647,26302,339,3808
"50","A - Magnoliopsida",842,4602.30014881719,1404.67031722238,26163,606,4235
"51","B - Pheophyceae",444,1196.74548538489,1395.87185406069,6583,100,796
"52","B - Pheophyceae",475,1208.24356603581,1271.31369968505,6689,67,848
"53","B - Pheophyceae",531,1452.30726164363,982.399350193213,5742,118,1225
"54","B - Pheophyceae",560,1603.26369050656,1001.58107052849,6187,149,1385
"55","B - Pheophyceae",650,2381.51908508902,3553.12160738649,13570,171,1292
"56","B - Pheophyceae",668,2019.60356833138,3057.17277530853,11677,59,1083
"57","B - Pheophyceae",705,4263.36245090037,5964.95706786026,24198,408,2531
"58","B - Pheophyceae",717,5037.12010279039,5753.7679236313,23846,553,3442
"59","B - Pheophyceae",740,6075.89440391777,5863.02714501951,27200,771,4482
"60","B - Pheophyceae",842,7356.21525404275,5513.62793849472,27269,1224,6073
"61","C - Rhodophyceae",444,810.862145076119,122.426264214548,8933,0,804
"62","C - Rhodophyceae",475,872.315412688626,135.698402423743,7924,0,864
"63","C - Rhodophyceae",531,1198.49659732803,158.564997603858,9087,0,1190
"64","C - Rhodophyceae",560,1262.78558127659,174.98820884856,7733,143,1254
"65","C - Rhodophyceae",650,1421.0481271433,175.665909436646,9143,259,1417
"66","C - Rhodophyceae",668,1110.1686374988,160.112081769964,7628,66,1104
"67","C - Rhodophyceae",705,2395.6491015757,267.758494768426,9332,900,2398
"68","C - Rhodophyceae",717,2924.32170451785,364.027484455451,8929,1008,2922
"69","C - Rhodophyceae",740,3307.1198819086,447.171718986923,8153,969,3299
"70","C - Rhodophyceae",842,3675.43616819504,475.182269520675,8024,1107,3673
"71","Sun Glint",444,3326.10347263852,1241.51802418083,10348,0,3200
"72","Sun Glint",475,3463.294639034,1314.9317205482,10802,0,3351
"73","Sun Glint",531,3891.38905540807,1445.20879979523,13900,0,3754.5
"74","Sun Glint",560,3948.74762353344,1426.57944704355,13896,0,3825
"75","Sun Glint",650,4031.90158002912,1380.13086545596,15081,0,3925
"76","Sun Glint",668,3761.5828337758,1324.17941418696,14518,0,3694
"77","Sun Glint",705,4328.76248180183,1397.35076051082,16869,0,4219
"78","Sun Glint",717,4422.16406183095,1476.63420227203,18106,0,4302
"79","Sun Glint",740,4480.31624132911,1477.80162431242,18601,0,4333
"80","Sun Glint",842,4480.72503639633,1375.78653174579,15012,0,4365
"81","Water",444,1573.33646885492,491.364643745938,10324,0,1517
"82","Water",475,1662.57745186927,516.063618335221,10711,0,1610
"83","Water",531,1899.81965143294,575.89264795801,14564,0,1857
"84","Water",560,1946.64775850345,593.521631532513,15702,0,1909
"85","Water",650,1965.16367281021,566.528916521174,15593,0,1942
"86","Water",668,1856.61545885336,603.915601431329,14812,0,1826
"87","Water",705,2161.60709883976,597.372789311802,16942,0,2141
"88","Water",717,2187.58035069203,632.049144189538,18776,0,2162
"89","Water",740,2199.93860410262,621.515526247387,18983,0,2177
"90","Water",842,2394.91322302342,604.022389082818,17703,545,2382
